address,city,country,keys,latitude,longitude,name,postalcode,province
4801 NE 14th St,Des Moines,US,us/ia/desmoines/4801ne14thst/-2061630068,41.647845,-93.600072,BURGER KING,50313,IA
6618 19th St W,Tacoma,US,us/wa/tacoma/661819thstw/-863563290,47.242757,-122.525309,TACO TIME,98466,WA
807 Highway South,Page,US,us/az/page/807highwaysouth/-2061630068,36.90777,-111.48161,BURGER KING,86040,AZ
13840 Grove Dr,Osseo,US,us/mn/osseo/13840grovedr/-2061630068,45.1042,-93.4552,BURGER KING,55311,MN
215 N Davis Ave,Cleveland,US,us/ms/cleveland/215ndavisave/-2061630068,33.74587,-90.71591,BURGER KING,38732,MS
855 Oro Dam Blvd E,Oroville,US,us/ca/oroville/855orodamblvde/-2061630068,39.4996,-121.5655,BURGER KING,95965,CA
1003 Highway 21 South,Oxford,US,us/al/oxford/1003highway21south/-2061630068,33.60251,-85.83377,BURGER KING,36203,AL
2944 W Parrish Ave,Owensboro,US,us/ky/owensboro/2944wparrishave/-2061630068,37.756923,-87.149467,BURGER KING,42301,KY
4958 State Route 23,Oneonta,US,us/ny/oneonta/4958stateroute23/-1161002137,42.4472,-75.05,MCDONALDS,13820,NY
547 W Commerce St,Brownwood,US,us/tx/brownwood/547wcommercest/-864103396,31.729456,-98.985878,TACO BELL,76801,TX
235 Highway 47 E,Troy,US,us/mo/troy/235highway47e/-864103396,38.98683,-90.96775,TACO BELL,63379,MO
600 S Gloster St,Tupelo,US,us/ms/tupelo/600sglosterst/-864103396,34.24847,-88.716753,TACO BELL,38801,MS
2700 Geer Rd,Turlock,US,us/ca/turlock/2700geerrd/-864103396,37.51772,-120.84834,TACO BELL,95382,CA
2807 Cleveland Blvd,Caldwell,US,us/id/caldwell/2807clevelandblvd/-864103396,43.64908,-116.6672,TACO BELL,83605,ID
1199 N Saint Augustine Rd,Valdosta,US,us/ga/valdosta/1199nsaintaugustinerd/-864103396,30.84221,-83.32427,TACO BELL,31601,GA
135 S Chauncey Ave Ste 2H,West Lafayette,US,us/in/westlafayette/135schaunceyaveste2h/-864103396,40.42317,-86.90786,TACO BELL,47906,IN
212 Thomas Rd,West Monroe,US,us/la/westmonroe/212thomasrd/-864103396,32.51051,-92.15776,TACO BELL,71291,LA
425C N Davis Ave,Cleveland,US,us/ms/cleveland/425cndavisave/-1055723171,33.75016,-90.71587,DOMINOS PIZZA,38732,MS
1139 W Pearce Blvd,Wentzville,US,us/mo/wentzville/1139wpearceblvd/-864103396,38.811769,-90.871981,TACO BELL,63385,MO
17971 SW McEwan Rd,Portland,US,us/or/portland/17971swmcewanrd/-2061630068,45.394334,-122.747032,BURGER KING,97224,OR
3830 SE 82nd Ave,Portland,US,us/or/portland/3830se82ndave/-2061630068,45.494471,-122.578286,BURGER KING,97266,OR
6 Taunton St,Plainville,US,us/ma/plainville/6tauntonst/-2061630068,42.009583,-71.30556,BURGER KING,2762,MA
1001 Westbank Expy,Westwego,US,us/la/westwego/1001westbankexpy/-864103396,29.8985,-90.1423,TACO BELL,70094,LA
759 S 10th St,Williamsburg,US,us/ky/williamsburg/759s10thst/-864103396,36.72547,-84.16553,TACO BELL,40769,KY
1837 E 3rd St,Williamsport,US,us/pa/williamsport/1837e3rdst/-864103396,41.24955,-76.96618,TACO BELL,17701,PA
1319 Bench Rd,Pocatello,US,us/id/pocatello/1319benchrd/-2061630068,42.899077,-112.433434,BURGER KING,83201,ID
2900 Brownsville Rd,Pittsburgh,US,us/pa/pittsburgh/2900brownsvillerd/-2061630068,40.382569,-79.977038,BURGER KING,15227,PA
47 Kinman Ln,Carrollton,US,us/ky/carrollton/47kinmanln/-864103396,38.65218,-85.12558,TACO BELL,41008,KY
2510 E Cedar St,Rawlins,US,us/wy/rawlins/2510ecedarst/-2061630068,41.79125,-107.20923,BURGER KING,82301,WY
108 9th Avenue Cir S,Princeton,US,us/mn/princeton/1089thavenuecirs/-2061630068,45.5526,-93.58688,BURGER KING,55371,MN
84 Main St,Cassville,US,us/mo/cassville/84mainst/-864103396,36.6744,-93.8714,TACO BELL,65625,MO
